-1.00000000e+00 -1.00000000e+00 -1.00000000e+00 -8.70522495e-01 -1.00000000e+00 -1.25023296e+02 
-9.99001996e-01 -9.99001996e-01 -9.99001996e-01 -8.70522495e-01 -9.99001996e-01 -1.24836058e+02 
-9.98003992e-01 -9.98003992e-01 -9.98003992e-01 -8.70522494e-01 -9.98003992e-01 -1.24719510e+02 
-9.97005988e-01 -9.97005988e-01 -9.97005988e-01 -8.70522493e-01 -9.97005988e-01 -1.24648840e+02 
-9.96007984e-01 -9.96007984e-01 -9.96007984e-01 -8.70522493e-01 -9.96007984e-01 -1.24555071e+02 
-9.95009980e-01 -9.95009980e-01 -9.95009980e-01 -8.70522492e-01 -9.95009980e-01 -1.24461506e+02 
-9.94011976e-01 -9.94011976e-01 -9.94011976e-01 -8.70522492e-01 -9.94011976e-01 -1.24365569e+02 
-9.93013972e-01 -9.93013972e-01 -9.93013972e-01 -8.70522491e-01 -9.93013972e-01 -1.24269827e+02 
-9.92015968e-01 -9.92015968e-01 -9.92015968e-01 -8.70522490e-01 -9.92015968e-01 -1.24175491e+02 
-9.91017964e-01 -9.91017964e-01 -9.91017964e-01 -8.70522490e-01 -9.91017964e-01 -1.24080242e+02 
-9.90019960e-01 -9.90019960e-01 -9.90019960e-01 -8.70522489e-01 -9.90019960e-01 -1.23984714e+02 
-9.89021956e-01 -9.89021956e-01 -9.89021956e-01 -8.70522489e-01 -9.89021956e-01 -1.23889326e+02 
-9.88023952e-01 -9.88023952e-01 -9.88023952e-01 -8.70522488e-01 -9.88023952e-01 -1.23793692e+02 
-9.87025948e-01 -9.87025948e-01 -9.87025948e-01 -8.70522487e-01 -9.87025948e-01 -1.23697609e+02 
-9.86027944e-01 -9.86027944e-01 -9.86027944e-01 -8.70522487e-01 -9.86027944e-01 -1.23601370e+02 
-9.85029940e-01 -9.85029940e-01 -9.85029940e-01 -8.70522486e-01 -9.85029940e-01 -1.23503740e+02 
-9.84031936e-01 -9.84031936e-01 -9.84031936e-01 -8.70522485e-01 -9.84031936e-01 -1.23407394e+02 
-9.83033932e-01 -9.83033932e-01 -9.83033932e-01 -8.70522485e-01 -9.83033932e-01 -1.23311318e+02 
