-1.00000000e+00 -1.00000000e+00 -1.00000000e+00  8.12903558e-01 -1.00000000e+00 -2.70372551e+01 
-9.99001996e-01 -9.99001996e-01 -9.99001996e-01  8.12858904e-01 -9.99001996e-01 -2.69341837e+01 
-9.98003992e-01 -9.98003992e-01 -9.98003992e-01  8.12813721e-01 -9.98003992e-01 -2.68702009e+01 
-9.97005988e-01 -9.97005988e-01 -9.97005988e-01  8.12768404e-01 -9.97005988e-01 -2.68317025e+01 
-9.96007984e-01 -9.96007984e-01 -9.96007984e-01  8.12722818e-01 -9.96007984e-01 -2.67805877e+01 
-9.95009980e-01 -9.95009980e-01 -9.95009980e-01  8.12676964e-01 -9.95009980e-01 -2.67295538e+01 
-9.94011976e-01 -9.94011976e-01 -9.94011976e-01  8.12630840e-01 -9.94011976e-01 -2.66785997e+01 
-9.93013972e-01 -9.93013972e-01 -9.93013972e-01  8.12584445e-01 -9.93013972e-01 -2.66277237e+01 
-9.92015968e-01 -9.92015968e-01 -9.92015968e-01  8.12537778e-01 -9.92015968e-01 -2.65769243e+01 
-9.91017964e-01 -9.91017964e-01 -9.91017964e-01  8.12490836e-01 -9.91017964e-01 -2.65261998e+01 
-9.90019960e-01 -9.90019960e-01 -9.90019960e-01  8.12443621e-01 -9.90019960e-01 -2.64755486e+01 
-9.89021956e-01 -9.89021956e-01 -9.89021956e-01  8.12396129e-01 -9.89021956e-01 -2.64249691e+01 
-9.88023952e-01 -9.88023952e-01 -9.88023952e-01  8.12348360e-01 -9.88023952e-01 -2.63744595e+01 
-9.87025948e-01 -9.87025948e-01 -9.87025948e-01  8.12300313e-01 -9.87025948e-01 -2.63240184e+01 
-9.86027944e-01 -9.86027944e-01 -9.86027944e-01  8.12251986e-01 -9.86027944e-01 -2.62736439e+01 
-9.85029940e-01 -9.85029940e-01 -9.85029940e-01  8.12203378e-01 -9.85029940e-01 -2.62233345e+01 
-9.84031936e-01 -9.84031936e-01 -9.84031936e-01  8.12154488e-01 -9.84031936e-01 -2.61730884e+01 
-9.83033932e-01 -9.83033932e-01 -9.83033932e-01  8.12105314e-01 -9.83033932e-01 -2.61229039e+01 
-9.82035928e-01 -9.82035928e-01 -9.82035928e-01  8.12055856e-01 -9.82035928e-01 -2.60727793e+01 
-9.81037924e-01 -9.81037924e-01 -9.81037924e-01  8.12006111e-01 -9.81037924e-01 -2.60227129e+01 
-9.80039920e-01 -9.80039920e-01 -9.80039920e-01  8.11956080e-01 -9.80039920e-01 -2.59727029e+01 
-9.79041916e-01 -9.79041916e-01 -9.79041916e-01  8.11905759e-01 -9.79041916e-01 -2.59227475e+01 
-9.78043912e-01 -9.78043912e-01 -9.78043912e-01  8.11855149e-01 -9.78043912e-01 -2.58728450e+01 
-9.77045908e-01 -9.77045908e-01 -9.77045908e-01  8.11804247e-01 -9.77045908e-01 -2.58229936e+01 
-9.76047904e-01 -9.76047904e-01 -9.76047904e-01  8.11753052e-01 -9.76047904e-01 -2.57731915e+01 
-9.75049900e-01 -9.75049900e-01 -9.75049900e-01  8.11701563e-01 -9.75049900e-01 -2.57234368e+01 
-9.74051896e-01 -9.74051896e-01 -9.74051896e-01  8.11649778e-01 -9.74051896e-01 -2.56737276e+01 
-9.73053892e-01 -9.73053892e-01 -9.73053892e-01  8.11597696e-01 -9.73053892e-01 -2.56240622e+01 
-9.72055888e-01 -9.72055888e-01 -9.72055888e-01  8.11545316e-01 -9.72055888e-01 -2.55744386e+01 
-9.71057884e-01 -9.71057884e-01 -9.71057884e-01  8.11492635e-01 -9.71057884e-01 -2.55248550e+01 
-9.70059880e-01 -9.70059880e-01 -9.70059880e-01  8.11439653e-01 -9.70059880e-01 -2.54753093e+01 
-9.69061876e-01 -9.69061876e-01 -9.69061876e-01  8.11386369e-01 -9.69061876e-01 -2.54257997e+01 
-9.68063872e-01 -9.68063872e-01 -9.68063872e-01  8.11332779e-01 -9.68063872e-01 -2.53763242e+01 
-9.67065868e-01 -9.67065868e-01 -9.67065868e-01  8.11278884e-01 -9.67065868e-01 -2.53268808e+01 
-9.66067864e-01 -9.66067864e-01 -9.66067864e-01  8.11224681e-01 -9.66067864e-01 -2.52774674e+01 
-9.65069860e-01 -9.65069860e-01 -9.65069860e-01  8.11170169e-01 -9.65069860e-01 -2.52280821e+01 
-9.64071856e-01 -9.64071856e-01 -9.64071856e-01  8.11115347e-01 -9.64071856e-01 -2.51787228e+01 
-9.63073852e-01 -9.63073852e-01 -9.63073852e-01  8.11060211e-01 -9.63073852e-01 -2.51293873e+01 
-9.62075848e-01 -9.62075848e-01 -9.62075848e-01  8.11004762e-01 -9.62075848e-01 -2.50800736e+01 
-9.61077844e-01 -9.61077844e-01 -9.61077844e-01  8.10948998e-01 -9.61077844e-01 -2.50307796e+01 
-9.60079840e-01 -9.60079840e-01 -9.60079840e-01  8.10892916e-01 -9.60079840e-01 -2.49815030e+01 
-9.59081836e-01 -9.59081836e-01 -9.59081836e-01  8.10836515e-01 -9.59081836e-01 -2.49322416e+01 
-9.58083832e-01 -9.58083832e-01 -9.58083832e-01  8.10779793e-01 -9.58083832e-01 -2.48829932e+01 
-9.57085828e-01 -9.57085828e-01 -9.57085828e-01  8.10722749e-01 -9.57085828e-01 -2.48337556e+01 
-9.56087824e-01 -9.56087824e-01 -9.56087824e-01  8.10665380e-01 -9.56087824e-01 -2.47845265e+01 
-9.55089820e-01 -9.55089820e-01 -9.55089820e-01  8.10607686e-01 -9.55089820e-01 -2.47353035e+01 
-9.54091816e-01 -9.54091816e-01 -9.54091816e-01  8.10549663e-01 -9.54091816e-01 -2.46860842e+01 
-9.53093812e-01 -9.53093812e-01 -9.53093812e-01  8.10491311e-01 -9.53093812e-01 -2.46368663e+01 
-9.52095808e-01 -9.52095808e-01 -9.52095808e-01  8.10432627e-01 -9.52095808e-01 -2.45876474e+01 
-9.51097804e-01 -9.51097804e-01 -9.51097804e-01  8.10373610e-01 -9.51097804e-01 -2.45384249e+01 
-9.50099800e-01 -9.50099800e-01 -9.50099800e-01  8.10314257e-01 -9.50099800e-01 -2.44891964e+01 
-9.49101796e-01 -9.49101796e-01 -9.49101796e-01  8.10254567e-01 -9.49101796e-01 -2.44399592e+01 
-9.48103792e-01 -9.48103792e-01 -9.48103792e-01  8.10194538e-01 -9.48103792e-01 -2.43907109e+01 
-9.47105788e-01 -9.47105788e-01 -9.47105788e-01  8.10134167e-01 -9.47105788e-01 -2.43414488e+01 
-9.46107784e-01 -9.46107784e-01 -9.46107784e-01  8.10073453e-01 -9.46107784e-01 -2.42921702e+01 
-9.45109780e-01 -9.45109780e-01 -9.45109780e-01  8.10012394e-01 -9.45109780e-01 -2.42428723e+01 
-9.44111776e-01 -9.44111776e-01 -9.44111776e-01  8.09950986e-01 -9.44111776e-01 -2.41935525e+01 
-9.43113772e-01 -9.43113772e-01 -9.43113772e-01  8.09889229e-01 -9.43113772e-01 -2.41442078e+01 
