-1.00000000e+00 -1.00000000e+00 -1.00000000e+00  8.31451131e-01 -1.00000000e+00 -3.78696028e+01 
-9.99001996e-01 -9.99001996e-01 -9.99001996e-01  8.31463825e-01 -9.99001996e-01 -3.79521985e+01 
-9.98003992e-01 -9.98003992e-01 -9.98003992e-01  8.31476398e-01 -9.98003992e-01 -3.80044866e+01 
-9.97005988e-01 -9.97005988e-01 -9.97005988e-01  8.31488940e-01 -9.97005988e-01 -3.80366211e+01 
-9.96007984e-01 -9.96007984e-01 -9.96007984e-01  8.31501421e-01 -9.96007984e-01 -3.80798926e+01 
-9.95009980e-01 -9.95009980e-01 -9.95009980e-01  8.31513838e-01 -9.95009980e-01 -3.81239002e+01 
-9.94011976e-01 -9.94011976e-01 -9.94011976e-01  8.31526193e-01 -9.94011976e-01 -3.81686616e+01 
-9.93013972e-01 -9.93013972e-01 -9.93013972e-01  8.31538483e-01 -9.93013972e-01 -3.82141968e+01 
-9.92015968e-01 -9.92015968e-01 -9.92015968e-01  8.31550709e-01 -9.92015968e-01 -3.82605275e+01 
-9.91017964e-01 -9.91017964e-01 -9.91017964e-01  8.31562869e-01 -9.91017964e-01 -3.83076750e+01 
-9.90019960e-01 -9.90019960e-01 -9.90019960e-01  8.31574963e-01 -9.90019960e-01 -3.83556617e+01 
-9.89021956e-01 -9.89021956e-01 -9.89021956e-01  8.31586989e-01 -9.89021956e-01 -3.84045121e+01 
-9.88023952e-01 -9.88023952e-01 -9.88023952e-01  8.31598948e-01 -9.88023952e-01 -3.84542498e+01 
-9.87025948e-01 -9.87025948e-01 -9.87025948e-01  8.31610837e-01 -9.87025948e-01 -3.85049004e+01 
-9.86027944e-01 -9.86027944e-01 -9.86027944e-01  8.31622657e-01 -9.86027944e-01 -3.85564905e+01 
-9.85029940e-01 -9.85029940e-01 -9.85029940e-01  8.31634406e-01 -9.85029940e-01 -3.86090478e+01 
-9.84031936e-01 -9.84031936e-01 -9.84031936e-01  8.31646083e-01 -9.84031936e-01 -3.86626004e+01 
-9.83033932e-01 -9.83033932e-01 -9.83033932e-01  8.31657689e-01 -9.83033932e-01 -3.87171787e+01 
-9.82035928e-01 -9.82035928e-01 -9.82035928e-01  8.31669220e-01 -9.82035928e-01 -3.87728141e+01 
-9.81037924e-01 -9.81037924e-01 -9.81037924e-01  8.31680678e-01 -9.81037924e-01 -3.88295378e+01 
-9.80039920e-01 -9.80039920e-01 -9.80039920e-01  8.31692060e-01 -9.80039920e-01 -3.88873840e+01 
-9.79041916e-01 -9.79041916e-01 -9.79041916e-01  8.31703365e-01 -9.79041916e-01 -3.89463884e+01 
-9.78043912e-01 -9.78043912e-01 -9.78043912e-01  8.31714594e-01 -9.78043912e-01 -3.90065878e+01 
-9.77045908e-01 -9.77045908e-01 -9.77045908e-01  8.31725744e-01 -9.77045908e-01 -3.90680199e+01 
-9.76047904e-01 -9.76047904e-01 -9.76047904e-01  8.31736815e-01 -9.76047904e-01 -3.91307249e+01 
-9.75049900e-01 -9.75049900e-01 -9.75049900e-01  8.31747805e-01 -9.75049900e-01 -3.91947461e+01 
